Actual,Predicted
11.12,11.410804
9.48,9.513773
20.14,20.190052
18.72,19.143026
20.85,20.527504
15.13,15.029144
15.510000000000002,14.887709
21.54,21.576757
9.3,9.285175
11.24,12.157763
20.58,20.460726
8.27,8.393434
15.43,14.664551
16.45,15.910712
14.699999999999998,14.091471
19.85,19.140194
10.22,9.768463
18.02,18.427452
20.46,20.935497
11.5,11.760844
8.68,8.385739
12.33,11.876805
17.37,17.358767
11.16,11.283352
21.01,21.228832
19.07,18.295454
19.95,19.945597
12.73,12.940598
16.66,17.2873
10.18,9.9582815
14.96,14.175889
13.739999999999998,13.074225
17.78,17.527203
24.75,24.635427
17.79,18.51459
15.599999999999998,15.28725
11.31,10.531969
21.67,21.831104
13.47,13.42042
18.7,18.628368
22.17,21.745798
17.14,17.115492
24.24,23.111946
11.66,11.786525
19.77,20.194458
20.51,20.714777
10.54,10.403556
10.68,12.389053
11.64,11.004341
20.21,20.138573
24.36,24.258175
19.64,19.136782
13.11,13.316067
12.01,11.578025
13.26,13.852113
11.69,11.417269
18.54,18.335222
23.04,23.698048
23.04,23.519135
20.79,21.575018
23.03,22.724373
18.06,18.548466
10.84,10.576347
8.56,8.099078
26.6,26.554956
23.79,24.223461
23.56,23.663559
14.28,13.889393
9.22,9.088939
22.73,23.001707
16.97,16.80175
9.96,10.877597
6.409999999999999,6.881159
13.129999999999999,13.419819
18.96,19.504137
20.83,20.67342
11.05,11.236872
13.88,13.123774
10.88,9.985935
26.09,25.041912
19.45,19.228527
22.06,21.684021
17.38,18.328615
9.75,10.088299
17.6,17.638977
8.81,9.270343
13.189999999999998,13.515531
16.33,15.811087
20.67,20.64401
19.65,19.796097
15.77,15.622616
10.96,10.820908
23.91,22.99793
10.74,10.963854
21.06,20.921083
20.5,20.172928
21.4,21.55433
22.16,22.191551
17.78,18.134405
7.82,8.052711
20.52,20.303356
20.67,20.610828
17.19,17.505405
15.67,15.762578
18.57,18.209967
15.209999999999999,15.9382305
23.69,23.732191
22.16,21.890224
6.73,7.263575
20.41,19.878271
20.18,19.699299
10.15,10.71234
5.2,6.655446
21.89,22.054892
21.34,21.274353
22.53,23.22869
24.09,24.546623
5.46,6.460628
21.85,22.274448
10.78,9.866384
16.19,15.391536
19.77,20.411726
10.09,9.73387
21.25,20.832455
21.57,22.336391
17.75,17.934093
12.4,12.789452
20.88,20.780893
11.55,11.125902
20.47,20.500767
16.53,16.27091
13.54,14.270125
13.32,13.400479
22.24,21.95139
12.76,12.333252
20.19,20.32084
21.96,22.764591
16.55,16.096603
20.78,20.386257
23.57,23.727583
20.16,20.284992
18.49,18.952562
22.48,22.997925
22.23,23.019129
17.97,17.397505
21.18,21.110361
21.52,21.28502
10.16,8.903676
19.85,20.09451
9.06,9.31741
19.84,19.387083
22.52,23.099722
23.45,22.641684
7.750000000000001,8.35947
9.16,9.825113
14.920000000000002,14.674915
9.43,9.321235
13.990000000000002,14.112976
12.35,11.801683
20.86,21.086115
9.21,8.831363
20.55,20.169447
21.85,21.608788
7.460000000000001,7.7644095
16.28,16.399836
18.85,19.019249
13.21,13.128004
9.29,9.589685
12.23,11.930149
18.15,18.070063
22.82,23.152695
12.850000000000001,12.860831
23.44,23.341812
24.08,23.998383
21.04,21.070385
10.29,9.69981
20.16,19.96352
9.92,9.559399
20.59,20.312557
6.85,7.6734962
22.67,22.580772
21.48,21.352058
23.64,23.247406
10.86,11.16181
12.08,11.370065
10.02,9.588188
10.3,10.346875
22.14,22.57856
13.1,12.195757
12.2,11.053687
22.36,22.551035
9.28,9.559428
12.78,11.943007
15.229999999999999,14.901462
23.31,22.859459
18.23,18.65956
19.11,18.71857
24.09,24.348726
20.17,20.166473
25.78,25.790096
11.2,10.975475
20.66,20.391857
13.159999999999998,13.191201
20.54,20.992355
